epoch,accuracy,loss,val_accuracy,val_loss
0,0.43003299832344055,2.7003562450408936,0.010732673108577728,55.954227447509766
1,0.5992739200592041,1.7894835472106934,0.009584158658981323,35.94492721557617
2,0.6489636898040771,1.564935326576233,0.00994059443473816,49.39181137084961
3,0.6821650266647339,1.4215290546417236,0.009623762220144272,25.741947174072266
4,0.7088316679000854,1.3132803440093994,0.00879207905381918,9.137153625488281
5,0.7281584143638611,1.2260810136795044,0.008752475492656231,19.193525314331055
6,0.74374920129776,1.1547818183898926,0.009227722883224487,18.36456871032715
7,0.7592871189117432,1.0906914472579956,0.0066930693574249744,27.16287612915039
8,0.7723564505577087,1.0313881635665894,0.010178217664361,14.835162162780762
9,0.783524751663208,0.9845406413078308,0.009346534498035908,8.895934104919434
10,0.7951815128326416,0.9346927404403687,0.009702970273792744,17.83389663696289
11,0.8057425618171692,0.8863013386726379,0.00994059443473816,12.190458297729492
12,0.8167128562927246,0.8521735072135925,0.010138614103198051,18.90288734436035
13,0.8264422416687012,0.8054548501968384,0.009267326444387436,15.155584335327148
14,0.8350231051445007,0.7734425067901611,0.009702970273792744,11.3485689163208
15,0.8944290280342102,0.5310765504837036,0.009821781888604164,8.705702781677246
16,0.9117227792739868,0.44025519490242004,0.008673267439007759,9.8424654006958
17,0.9201980233192444,0.4046124517917633,0.007524752523750067,9.213583946228027
18,0.9272079467773438,0.3722401261329651,0.008950495161116123,9.487639427185059
